CNUM;SurName;Name;MiddleName;BirthDay;City
ABATT2;БЫКОВА;Лола;Рустэмовна;22.08.1993;Москва
ABATT3;ЕРМАКОВА;Иоланта;Демьяновна;23.08.1993;Москва
ABATSY;КОПЫЛОВА;Эллада;Владленовна;20.08.1993;Москва
ABATT9;ПАНФИЛОВА;Снежана;Денисовна;25.08.1993;Москва
ABATSX;РЫБАКОВА;Дебора;Рэмовна;21.08.1993;Москва
ABATT1;СОЛОВЬЁВА;Лия;Мартыновна;24.08.1993;Москва
ABATTA;СУББОТИНА;Мария;Ромуальдовна;27.08.1993;Москва
ABATT8;ФОМИЧЁВА;Роза;Гранитовна;26.08.1993;Москва
ABB2NT;АБРАМОВА;Ася;Ремовна;30.11.1994;Новосибирск
ABB1Q8;АБРАМОВА;Берта;Эдуардовна;03.09.1994;Новосибирск
ABB1TP;АБРАМОВА;Вера;Брониславовна;05.02.1995;Новосибирск
ABB251;АБРАМОВА;Зара;Артёмовна;20.10.1995;Новосибирск
ABB12S;АБРАМОВА;Лада;Ратмировна;03.02.1995;Новосибирск
ABB1MX;АВДЕЕВА;Анастасия;Аскольдовна;02.07.1994;Новосибирск
ABB27G;АВДЕЕВА;Ия;Мстиславовна;21.11.1993;Новосибирск
ABB0WS;АВДЕЕВА;Марьяна;Агафоновна;15.08.1994;Новосибирск
ABB0SS;АГАФОНОВА;Ксения;Анисовна;02.05.1994;Новосибирск
ABB1GV;АГАФОНОВА;Марина;Семёновна;31.03.1994;Новосибирск
ABB23X;АГАФОНОВА;Устина;Антониновна;23.10.1995;Новосибирск
ABB0VT;АГАФОНОВА;Фаня;Рустамовна;26.08.1994;Новосибирск
ABB0VK;АГАФОНОВА;Флора;Евграфовна;04.10.1994;Новосибирск
ABB2KN;АКСЁНОВА;Ася;Ренальдовна;11.09.1994;Новосибирск
ABB27S;АКСЁНОВА;Изабелла;Богдановна;19.09.1993;Новосибирск
ABB1KB;АКСЁНОВА;Кира;Валентиновна;23.07.1994;Новосибирск
ABB192;АКСЁНОВА;Лайма;Артёмовна;29.12.1995;Новосибирск
ABB2CY;АКСЁНОВА;Любовь;Варламовна;06.12.1993;Новосибирск
ABB1V8;АКСЁНОВА;Любовь;Вениаминовна;06.01.1995;Новосибирск
ABB1FV;АКСЁНОВА;Мария;Варламовна;06.02.1994;Новосибирск
ABB1GM;АКСЁНОВА;Наида;Александровна;23.03.1994;Новосибирск
ABB20X;АКСЁНОВА;Неонила;Ладиславовна;09.09.1995;Новосибирск
ABB1L6;АКСЁНОВА;Эмилия;Гаспаровна;20.07.1994;Новосибирск
ABB1VX;АКСЁНОВА;Ядвига;Акимовна;08.03.1995;Новосибирск
ABB1AD;АЛЕКСАНДРОВА;Иршулья;Трофимовна;24.11.1995;Новосибирск
ABB12A;АЛЕКСАНДРОВА;Лариса;Эрастовна;29.01.1995;Новосибирск
ABB19L;АЛЕКСАНДРОВА;Муза;Олеговна;23.11.1995;Новосибирск
ABB0VD;АЛЕКСАНДРОВА;Ольга;Кондратовна;02.09.1994;Новосибирск
ABB1X5;АЛЕКСАНДРОВА;Снежана;Гамлетовна;05.06.1995;Новосибирск
ABB1EE;АЛЕКСАНДРОВА;Таира;Робертовна;15.01.1994;Новосибирск
ABB1B3;АЛЕКСАНДРОВА;Урсула;Родионовна;16.12.1995;Новосибирск
ABB0VJ;АЛЕКСЕЕВА;Агнесса;Мстиславовна;22.09.1994;Новосибирск
ABB297;АЛЕКСЕЕВА;Любомира;Ролановна;01.09.1993;Новосибирск
ABB16H;АЛЕКСЕЕВА;Милица;Юстиновна;26.10.1995;Новосибирск
ABB2KL;АЛЕКСЕЕВА;Рема;Якововна;25.07.1994;Новосибирск
ABB23D;АЛЕКСЕЕВА;Светлана;Александровна;07.11.1995;Новосибирск
ABB2K6;АЛЕКСЕЕВА;Стелла;Трифоновна;03.09.1994;Новосибирск
ABB1GX;АЛЕКСЕЕВА;Янита;Всеволодовна;07.02.1994;Новосибирск
ABB1C7;АНДРЕЕВА;Алевтина;Робинзоновна;01.11.1993;Новосибирск
ABB2AN;АНДРЕЕВА;Александра;Гелиановна;01.03.1994;Новосибирск
ABB1YL;АНДРЕЕВА;Беата;Рудольфовна;15.03.1995;Новосибирск
ABB1MK;АНДРЕЕВА;Ванда;Иакинфовна;23.05.1994;Новосибирск
ABB14R;АНДРЕЕВА;Вероника;Эрастовна;26.06.1995;Новосибирск
ABB1W2;АНДРЕЕВА;Даниэла;Ролановна;07.05.1995;Новосибирск
ABB0RP;АНДРЕЕВА;Елизавета;Рандольфовна;09.06.1994;Новосибирск
ABB218;АНДРЕЕВА;Любомира;Раймондовна;18.06.1995;Новосибирск
